epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1011.3,0.57366,0.5219,1.00538,0.97752,0.97478,0.99155,0.83136,0.72126,0.3985,1.15423,0.000176638,0.000176638,0.000176638
84,1023.59,0.56226,0.52836,1.00634,0.97613,0.97859,0.99217,0.82486,0.72265,0.38944,1.13522,0.000174097,0.000174097,0.000174097
85,1035.83,0.56267,0.53612,1.01132,0.97199,0.96852,0.98498,0.8188,0.75276,0.399,1.17145,0.000171556,0.000171556,0.000171556
86,1048.05,0.54785,0.51971,0.99611,0.96617,0.96763,0.99124,0.82546,0.72303,0.39358,1.14438,0.000169015,0.000169015,0.000169015
87,1060.39,0.54812,0.5115,0.99709,0.98062,0.96254,0.98833,0.81963,0.73723,0.40103,1.14919,0.000166474,0.000166474,0.000166474
88,1072.77,0.54986,0.51785,0.99243,0.97447,0.97406,0.9896,0.82115,0.73204,0.39363,1.15338,0.000163933,0.000163933,0.000163933
89,1085.06,0.54307,0.50977,0.99008,0.96924,0.95996,0.98809,0.83015,0.71637,0.40084,1.13863,0.000161392,0.000161392,0.000161392
90,1097.37,0.55688,0.51847,0.99584,0.97468,0.9708,0.98758,0.82938,0.72092,0.39553,1.13832,0.000158851,0.000158851,0.000158851
91,1109.76,0.55145,0.51991,0.99812,0.9718,0.97195,0.98977,0.82034,0.72744,0.39557,1.14972,0.00015631,0.00015631,0.00015631
92,1121.92,0.53128,0.4922,0.98231,0.97756,0.95458,0.98879,0.82667,0.72341,0.41088,1.14027,0.000153769,0.000153769,0.000153769
93,1134.11,0.53453,0.49158,0.98811,0.9761,0.95567,0.99028,0.82274,0.74638,0.40278,1.16451,0.000151228,0.000151228,0.000151228
94,1146.35,0.55301,0.50049,0.99852,0.97287,0.96542,0.99094,0.81889,0.7442,0.40143,1.16711,0.000148687,0.000148687,0.000148687
95,1158.71,0.53813,0.48726,0.98557,0.97865,0.97164,0.99067,0.82522,0.74065,0.38845,1.17682,0.000146146,0.000146146,0.000146146
96,1170.97,0.52932,0.49214,0.98952,0.98564,0.96479,0.99231,0.82625,0.73363,0.38952,1.16471,0.000143605,0.000143605,0.000143605
97,1183.2,0.54742,0.5074,0.99765,0.96898,0.97865,0.99277,0.82659,0.73597,0.37213,1.16038,0.000141064,0.000141064,0.000141064
98,1195.49,0.52958,0.48568,0.99002,0.98354,0.97605,0.99372,0.82346,0.73882,0.38366,1.16905,0.000138523,0.000138523,0.000138523
99,1207.73,0.51715,0.47797,0.98097,0.98286,0.97489,0.99147,0.82841,0.74056,0.37309,1.17769,0.000135982,0.000135982,0.000135982
100,1219.93,0.52494,0.47303,0.98037,0.98556,0.96081,0.99065,0.82721,0.74525,0.38619,1.18005,0.000133441,0.000133441,0.000133441
101,1232.19,0.5392,0.49368,0.98749,0.9753,0.96857,0.99109,0.82513,0.73097,0.37674,1.17231,0.0001309,0.0001309,0.0001309
102,1244.47,0.53333,0.49332,0.99144,0.97878,0.9692,0.99101,0.82186,0.74243,0.37912,1.17515,0.000128359,0.000128359,0.000128359
103,1256.86,0.51601,0.45991,0.97873,0.9722,0.97676,0.99099,0.82453,0.72691,0.3652,1.16307,0.000125818,0.000125818,0.000125818
104,1269.11,0.51115,0.46537,0.97437,0.98109,0.97834,0.9915,0.82634,0.72629,0.36449,1.1567,0.000123277,0.000123277,0.000123277
105,1281.33,0.51531,0.47216,0.97411,0.97954,0.96821,0.98845,0.82635,0.73186,0.37211,1.16875,0.000120736,0.000120736,0.000120736
106,1293.62,0.51504,0.45751,0.97933,0.9779,0.97735,0.99217,0.82674,0.73011,0.36823,1.15996,0.000118195,0.000118195,0.000118195
107,1305.82,0.50346,0.45847,0.97472,0.97445,0.97451,0.99052,0.83092,0.72744,0.38066,1.15471,0.000115654,0.000115654,0.000115654
108,1318.04,0.49398,0.46109,0.97381,0.97147,0.96589,0.98898,0.82952,0.72659,0.37562,1.17088,0.000113113,0.000113113,0.000113113
109,1330.26,0.50442,0.46685,0.97734,0.97943,0.95871,0.99183,0.82648,0.73274,0.36015,1.17115,0.000110572,0.000110572,0.000110572
110,1342.46,0.5115,0.44801,0.98533,0.97358,0.96764,0.99199,0.82615,0.72164,0.36744,1.17207,0.000108031,0.000108031,0.000108031
111,1354.77,0.50085,0.44871,0.97219,0.97783,0.9798,0.99293,0.82588,0.73221,0.35482,1.184,0.00010549,0.00010549,0.00010549
112,1366.93,0.49701,0.44951,0.97256,0.98173,0.96569,0.99108,0.82778,0.7313,0.35898,1.17637,0.000102949,0.000102949,0.000102949
113,1379.2,0.49805,0.4536,0.97149,0.98956,0.97367,0.992,0.82476,0.73476,0.34442,1.18076,0.000100408,0.000100408,0.000100408
114,1391.45,0.4989,0.43762,0.96765,0.98134,0.97114,0.99205,0.82972,0.73793,0.35878,1.17493,9.7867e-05,9.7867e-05,9.7867e-05
115,1403.59,0.49902,0.44615,0.97499,0.98205,0.97475,0.99077,0.83112,0.73632,0.35535,1.17286,9.5326e-05,9.5326e-05,9.5326e-05
116,1415.82,0.50017,0.44648,0.97458,0.98375,0.97459,0.99043,0.82468,0.73004,0.35874,1.16092,9.2785e-05,9.2785e-05,9.2785e-05
117,1428.04,0.49168,0.44284,0.97481,0.98002,0.97753,0.98995,0.82966,0.72956,0.34822,1.17368,9.0244e-05,9.0244e-05,9.0244e-05
118,1440.2,0.49255,0.4381,0.97528,0.98086,0.96696,0.98822,0.82515,0.7358,0.34657,1.17356,8.7703e-05,8.7703e-05,8.7703e-05
119,1452.47,0.48545,0.4345,0.96127,0.98151,0.9745,0.99109,0.83026,0.72056,0.34505,1.16571,8.5162e-05,8.5162e-05,8.5162e-05
120,1464.79,0.48972,0.42836,0.97271,0.96648,0.97352,0.9915,0.83423,0.72524,0.34524,1.16037,8.2621e-05,8.2621e-05,8.2621e-05
121,1477.08,0.48491,0.43472,0.964,0.97786,0.97391,0.99132,0.83412,0.7227,0.34868,1.16398,8.008e-05,8.008e-05,8.008e-05
122,1489.38,0.47816,0.42407,0.96579,0.9799,0.97115,0.99194,0.83163,0.72545,0.34438,1.16376,7.7539e-05,7.7539e-05,7.7539e-05
123,1501.67,0.49219,0.41886,0.95988,0.97904,0.97285,0.99094,0.82852,0.72817,0.34236,1.16734,7.4998e-05,7.4998e-05,7.4998e-05
124,1513.88,0.49059,0.43873,0.97084,0.97135,0.97505,0.9921,0.83654,0.71844,0.34621,1.16231,7.2457e-05,7.2457e-05,7.2457e-05
125,1526.11,0.47231,0.42807,0.96633,0.98289,0.96783,0.99092,0.83245,0.7143,0.35409,1.16213,6.9916e-05,6.9916e-05,6.9916e-05
126,1538.3,0.46905,0.43648,0.96776,0.9741,0.97807,0.99177,0.83372,0.71629,0.33804,1.16233,6.7375e-05,6.7375e-05,6.7375e-05
127,1550.57,0.47138,0.41065,0.95184,0.973,0.96897,0.99066,0.83645,0.7175,0.35209,1.16867,6.4834e-05,6.4834e-05,6.4834e-05
128,1562.9,0.47484,0.41562,0.95679,0.96815,0.97804,0.98833,0.8323,0.71416,0.34385,1.16357,6.2293e-05,6.2293e-05,6.2293e-05
129,1575.16,0.4648,0.41662,0.95611,0.98251,0.97412,0.99069,0.83306,0.71569,0.33873,1.16585,5.9752e-05,5.9752e-05,5.9752e-05
130,1587.4,0.46911,0.40288,0.95648,0.97296,0.98118,0.99206,0.83225,0.71319,0.34445,1.15868,5.7211e-05,5.7211e-05,5.7211e-05
131,1599.91,0.46121,0.40667,0.9514,0.98114,0.96465,0.99183,0.83033,0.71934,0.34679,1.16469,5.467e-05,5.467e-05,5.467e-05
132,1612.26,0.48673,0.43029,0.96709,0.97589,0.97169,0.99087,0.8304,0.71451,0.34641,1.16067,5.2129e-05,5.2129e-05,5.2129e-05
133,1624.51,0.4591,0.3949,0.96509,0.97947,0.97014,0.99228,0.83492,0.71095,0.34576,1.15762,4.9588e-05,4.9588e-05,4.9588e-05
134,1636.85,0.4699,0.40409,0.95482,0.98311,0.9716,0.99137,0.82979,0.72391,0.34152,1.17444,4.7047e-05,4.7047e-05,4.7047e-05
135,1649.19,0.45893,0.39587,0.9565,0.98884,0.96682,0.99222,0.82987,0.72156,0.34539,1.16519,4.4506e-05,4.4506e-05,4.4506e-05
136,1661.61,0.46321,0.40899,0.95567,0.97429,0.97661,0.99213,0.83522,0.71723,0.34044,1.16105,4.1965e-05,4.1965e-05,4.1965e-05
137,1673.93,0.45897,0.40786,0.95985,0.97585,0.96762,0.99162,0.83074,0.72454,0.34221,1.16758,3.9424e-05,3.9424e-05,3.9424e-05
138,1686.21,0.45866,0.39588,0.95409,0.98202,0.96373,0.98967,0.83758,0.71776,0.33836,1.16504,3.6883e-05,3.6883e-05,3.6883e-05
139,1698.55,0.47318,0.40708,0.95756,0.97799,0.97416,0.99058,0.83581,0.71515,0.34141,1.16519,3.4342e-05,3.4342e-05,3.4342e-05
140,1710.87,0.45356,0.396,0.94444,0.97904,0.97233,0.98976,0.83385,0.71501,0.33268,1.15741,3.1801e-05,3.1801e-05,3.1801e-05
141,1741.74,0.41622,0.30181,0.92872,0.97458,0.97448,0.99023,0.82241,0.73146,0.35591,1.18109,2.926e-05,2.926e-05,2.926e-05
142,1753.8,0.39242,0.27646,0.89519,0.98389,0.96715,0.99029,0.81915,0.73757,0.35393,1.18836,2.6719e-05,2.6719e-05,2.6719e-05
143,1766,0.3823,0.27001,0.91397,0.98758,0.96425,0.99024,0.82577,0.73126,0.34994,1.18552,2.4178e-05,2.4178e-05,2.4178e-05
144,1778.17,0.38128,0.26897,0.89515,0.97937,0.97427,0.99014,0.82789,0.7273,0.34744,1.17985,2.1637e-05,2.1637e-05,2.1637e-05
145,1790.36,0.37128,0.26312,0.89574,0.98387,0.97464,0.99053,0.82816,0.73018,0.34702,1.18434,1.9096e-05,1.9096e-05,1.9096e-05
146,1802.47,0.37003,0.26042,0.88664,0.98473,0.97479,0.98987,0.82792,0.72782,0.34565,1.17805,1.6555e-05,1.6555e-05,1.6555e-05
147,1814.6,0.37304,0.26363,0.89153,0.98208,0.97668,0.9899,0.8301,0.72514,0.34321,1.17825,1.4014e-05,1.4014e-05,1.4014e-05
148,1826.65,0.37047,0.2608,0.8929,0.98321,0.97686,0.98971,0.83005,0.72382,0.34063,1.17872,1.1473e-05,1.1473e-05,1.1473e-05
149,1838.68,0.37081,0.26,0.89625,0.98118,0.97771,0.98979,0.8293,0.72504,0.34104,1.18195,8.932e-06,8.932e-06,8.932e-06
150,1850.83,0.36276,0.25326,0.88905,0.98306,0.97633,0.98977,0.83046,0.72412,0.3395,1.18027,6.391e-06,6.391e-06,6.391e-06
