epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,22036.5,0.54095,0.58657,1.01168,0.94434,0.86736,0.91232,0.77109,0.69574,0.85293,1.11332,8.008e-05,8.008e-05,8.008e-05
82,22306.6,0.53522,0.58993,1.00127,0.96031,0.8665,0.91815,0.77361,0.6979,0.81966,1.1245,7.62685e-05,7.62685e-05,7.62685e-05
83,22577.3,0.572,0.61865,1.01577,0.95433,0.8687,0.91642,0.77274,0.68738,0.80943,1.13194,7.2457e-05,7.2457e-05,7.2457e-05
84,22847,0.54446,0.58454,1.01597,0.95601,0.87226,0.9248,0.7844,0.68611,0.79605,1.12277,6.86455e-05,6.86455e-05,6.86455e-05
85,23116.7,0.54918,0.59505,1.00852,0.95249,0.87515,0.91714,0.77572,0.68959,0.82112,1.12651,6.4834e-05,6.4834e-05,6.4834e-05
86,23386.6,0.54848,0.61078,1.0092,0.95068,0.87403,0.91677,0.77798,0.69315,0.81266,1.12332,6.10225e-05,6.10225e-05,6.10225e-05
87,23656.4,0.53354,0.56486,0.99889,0.95383,0.87425,0.92855,0.78609,0.69234,0.78894,1.11885,5.7211e-05,5.7211e-05,5.7211e-05
88,23926.3,0.53188,0.57084,1.00125,0.94895,0.872,0.91678,0.77191,0.69973,0.82505,1.12465,5.33995e-05,5.33995e-05,5.33995e-05
89,24196.9,0.51352,0.54941,0.99266,0.95349,0.87652,0.91586,0.77974,0.6779,0.82613,1.10352,4.9588e-05,4.9588e-05,4.9588e-05
90,24467.4,0.53786,0.5448,1.00021,0.94957,0.87482,0.91239,0.77676,0.68555,0.82077,1.11447,4.57765e-05,4.57765e-05,4.57765e-05
91,24735.9,0.41368,0.39931,0.94497,0.94661,0.87189,0.90435,0.76979,0.68394,0.86594,1.11094,4.1965e-05,4.1965e-05,4.1965e-05
92,25004.2,0.4251,0.38231,0.95192,0.94904,0.87312,0.90365,0.76815,0.67485,0.86365,1.09947,3.81535e-05,3.81535e-05,3.81535e-05
93,25272.6,0.46622,0.43436,0.99131,0.95165,0.8701,0.90549,0.77156,0.68163,0.85996,1.11421,3.4342e-05,3.4342e-05,3.4342e-05
94,25541.4,0.41246,0.41493,0.95314,0.9536,0.87084,0.91099,0.77457,0.68018,0.84846,1.11431,3.05305e-05,3.05305e-05,3.05305e-05
95,25810,0.40542,0.37318,0.93256,0.94422,0.87528,0.911,0.77283,0.68566,0.83582,1.11637,2.6719e-05,2.6719e-05,2.6719e-05
96,26078.7,0.38711,0.35827,0.92479,0.95379,0.8746,0.91555,0.78095,0.68454,0.82813,1.1206,2.29075e-05,2.29075e-05,2.29075e-05
97,26347,0.39855,0.38507,0.94515,0.95189,0.87575,0.9167,0.77967,0.68731,0.8228,1.12083,1.9096e-05,1.9096e-05,1.9096e-05
98,26614.7,0.39348,0.39818,0.92917,0.95552,0.87351,0.92185,0.78653,0.67915,0.81241,1.115,1.52845e-05,1.52845e-05,1.52845e-05
99,26882.7,0.38515,0.34719,0.91577,0.95484,0.87178,0.91421,0.7801,0.68877,0.82227,1.12708,1.1473e-05,1.1473e-05,1.1473e-05
