epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2948.97,0.49889,0.42372,1.00241,0.98074,0.97859,0.99041,0.83021,0.72518,0.33541,1.22167,0.000191884,0.000191884,0.000191884
78,2987.11,0.49892,0.4147,0.99862,0.98467,0.96797,0.99272,0.82271,0.75231,0.33465,1.25329,0.000189343,0.000189343,0.000189343
79,3025.23,0.51816,0.44918,1.01567,0.97108,0.98376,0.99258,0.82943,0.71914,0.31929,1.21746,0.000186802,0.000186802,0.000186802
80,3063.54,0.49907,0.43913,1.00985,0.97962,0.96836,0.98762,0.82256,0.72341,0.32892,1.2134,0.000184261,0.000184261,0.000184261
81,3101.78,0.50155,0.42007,1.0137,0.97962,0.97428,0.99068,0.82988,0.71798,0.32001,1.22317,0.00018172,0.00018172,0.00018172
82,3140.04,0.48834,0.4094,0.99537,0.97889,0.9757,0.99253,0.83219,0.72081,0.31382,1.2243,0.000179179,0.000179179,0.000179179
83,3178.38,0.49766,0.39835,1.00035,0.9765,0.97819,0.99249,0.83023,0.73154,0.3178,1.25887,0.000176638,0.000176638,0.000176638
84,3216.67,0.48064,0.40822,0.99949,0.98418,0.97681,0.98909,0.83369,0.72458,0.32857,1.22407,0.000174097,0.000174097,0.000174097
85,3254.86,0.48269,0.4052,1.00495,0.97643,0.97801,0.99105,0.82721,0.73231,0.31624,1.23266,0.000171556,0.000171556,0.000171556
86,3293.07,0.48016,0.39774,0.99227,0.98569,0.98213,0.99072,0.83552,0.72928,0.32187,1.24623,0.000169015,0.000169015,0.000169015
87,3331.37,0.47481,0.37429,0.99314,0.97524,0.97746,0.98783,0.82405,0.73474,0.32425,1.24591,0.000166474,0.000166474,0.000166474
88,3369.57,0.47975,0.38247,0.99646,0.98248,0.9745,0.98975,0.82227,0.74479,0.33523,1.26979,0.000163933,0.000163933,0.000163933
89,3407.6,0.46622,0.38658,0.99146,0.98614,0.97862,0.98966,0.83395,0.71929,0.32183,1.22695,0.000161392,0.000161392,0.000161392
90,3445.8,0.4748,0.39195,0.99625,0.98108,0.97548,0.99155,0.82563,0.73557,0.31486,1.24785,0.000158851,0.000158851,0.000158851
91,3483.93,0.47262,0.3891,0.99415,0.98021,0.97427,0.99131,0.83166,0.73211,0.31909,1.25718,0.00015631,0.00015631,0.00015631
92,3522.14,0.4479,0.36069,0.97497,0.97798,0.97377,0.9911,0.82846,0.73173,0.30948,1.24902,0.000153769,0.000153769,0.000153769
93,3560.18,0.45643,0.36666,0.9759,0.98511,0.97824,0.99019,0.82687,0.7328,0.30907,1.24277,0.000151228,0.000151228,0.000151228
94,3598.35,0.46365,0.37947,0.98495,0.97604,0.97657,0.99045,0.82566,0.7401,0.32474,1.24376,0.000148687,0.000148687,0.000148687
95,3636.54,0.45837,0.3622,0.98016,0.98053,0.98297,0.99038,0.83464,0.73275,0.31126,1.26327,0.000146146,0.000146146,0.000146146
96,3674.67,0.44727,0.37165,0.98485,0.97322,0.97849,0.98892,0.83174,0.72846,0.32165,1.2523,0.000143605,0.000143605,0.000143605
97,3712.87,0.46535,0.38081,0.99409,0.97843,0.97153,0.99022,0.83023,0.74673,0.32354,1.28658,0.000141064,0.000141064,0.000141064
98,3751.03,0.43998,0.3712,0.98012,0.98267,0.96071,0.98842,0.82215,0.74144,0.32114,1.27161,0.000138523,0.000138523,0.000138523
99,3789.17,0.43906,0.35411,0.9708,0.97886,0.9733,0.98589,0.82426,0.73474,0.30865,1.26412,0.000135982,0.000135982,0.000135982
100,3827.37,0.43864,0.35338,0.97255,0.98385,0.97448,0.99128,0.82786,0.72466,0.30719,1.23045,0.000133441,0.000133441,0.000133441
101,3865.49,0.45252,0.36533,0.97535,0.97881,0.9841,0.99188,0.83518,0.71275,0.30135,1.22028,0.0001309,0.0001309,0.0001309
102,3903.64,0.44839,0.36813,0.98198,0.97986,0.98214,0.99113,0.81941,0.74083,0.29583,1.25085,0.000128359,0.000128359,0.000128359
103,3941.88,0.42805,0.33803,0.96374,0.983,0.98525,0.99268,0.83635,0.72066,0.30943,1.24787,0.000125818,0.000125818,0.000125818
104,3980.25,0.42224,0.34359,0.96491,0.98157,0.98592,0.99256,0.82924,0.7289,0.30124,1.25831,0.000123277,0.000123277,0.000123277
105,4018.46,0.43382,0.35147,0.96396,0.98015,0.98244,0.98901,0.8298,0.7246,0.29337,1.25486,0.000120736,0.000120736,0.000120736
106,4056.8,0.41377,0.33482,0.95695,0.98281,0.97609,0.99355,0.83225,0.73341,0.30099,1.25115,0.000118195,0.000118195,0.000118195
107,4095.19,0.41994,0.33553,0.96531,0.98814,0.97988,0.99429,0.83038,0.73649,0.29829,1.25852,0.000115654,0.000115654,0.000115654
108,4133.33,0.40571,0.3276,0.9515,0.98498,0.98195,0.99268,0.83304,0.73622,0.29847,1.25848,0.000113113,0.000113113,0.000113113
109,4171.5,0.41731,0.34622,0.96121,0.9777,0.98281,0.99343,0.83761,0.72251,0.29598,1.25607,0.000110572,0.000110572,0.000110572
110,4209.81,0.4125,0.32211,0.96261,0.98312,0.98153,0.9925,0.83684,0.7379,0.29009,1.28253,0.000108031,0.000108031,0.000108031
111,4247.96,0.40415,0.32046,0.95583,0.97779,0.98639,0.99447,0.83952,0.72432,0.28944,1.24914,0.00010549,0.00010549,0.00010549
112,4286.25,0.40741,0.32362,0.95792,0.98084,0.9903,0.99487,0.83299,0.73063,0.29374,1.25988,0.000102949,0.000102949,0.000102949
113,4324.38,0.40617,0.3268,0.95672,0.9834,0.9797,0.99425,0.83225,0.71942,0.28835,1.25474,0.000100408,0.000100408,0.000100408
114,4362.52,0.3961,0.30518,0.94844,0.97768,0.98359,0.99353,0.83219,0.73317,0.29754,1.28116,9.7867e-05,9.7867e-05,9.7867e-05
115,4400.74,0.40925,0.32383,0.95977,0.981,0.9797,0.99077,0.83205,0.72443,0.29304,1.27153,9.5326e-05,9.5326e-05,9.5326e-05
116,4438.84,0.40393,0.32283,0.95479,0.97897,0.97969,0.99041,0.83131,0.71663,0.29881,1.2591,9.2785e-05,9.2785e-05,9.2785e-05
117,4477.03,0.3989,0.32105,0.9541,0.97982,0.98024,0.99103,0.83009,0.73351,0.29397,1.27138,9.0244e-05,9.0244e-05,9.0244e-05
118,4515.23,0.3922,0.30703,0.95049,0.97671,0.9816,0.99216,0.83491,0.72332,0.28797,1.26804,8.7703e-05,8.7703e-05,8.7703e-05
119,4553.27,0.3902,0.309,0.94546,0.98267,0.97998,0.99287,0.83976,0.70901,0.29147,1.24537,8.5162e-05,8.5162e-05,8.5162e-05
120,4591.52,0.39435,0.31032,0.95444,0.98247,0.9754,0.99031,0.83929,0.70457,0.28926,1.23392,8.2621e-05,8.2621e-05,8.2621e-05
121,4629.69,0.38646,0.31318,0.94634,0.98429,0.98312,0.9943,0.8449,0.7084,0.27979,1.2518,8.008e-05,8.008e-05,8.008e-05
122,4667.93,0.37902,0.3069,0.94751,0.98548,0.9884,0.99477,0.83809,0.71793,0.28362,1.26229,7.7539e-05,7.7539e-05,7.7539e-05
123,4706.08,0.38469,0.29745,0.9382,0.98756,0.977,0.9921,0.83624,0.71531,0.27991,1.26628,7.4998e-05,7.4998e-05,7.4998e-05
124,4744.23,0.37996,0.30681,0.94167,0.98654,0.97661,0.99338,0.84027,0.71483,0.28435,1.27183,7.2457e-05,7.2457e-05,7.2457e-05
125,4782.26,0.37506,0.30659,0.94587,0.97515,0.98399,0.99301,0.83733,0.72305,0.29175,1.27586,6.9916e-05,6.9916e-05,6.9916e-05
126,4820.46,0.36911,0.3073,0.94397,0.97526,0.98123,0.99202,0.83919,0.71219,0.29841,1.26055,6.7375e-05,6.7375e-05,6.7375e-05
127,4858.61,0.36998,0.28777,0.9367,0.97642,0.97281,0.99079,0.84509,0.71347,0.29877,1.2792,6.4834e-05,6.4834e-05,6.4834e-05
128,4896.81,0.372,0.29157,0.93768,0.98258,0.97658,0.99073,0.84246,0.7168,0.28448,1.28305,6.2293e-05,6.2293e-05,6.2293e-05
129,4935.04,0.36644,0.28991,0.94065,0.98379,0.97931,0.9929,0.83766,0.73211,0.2904,1.2905,5.9752e-05,5.9752e-05,5.9752e-05
130,4973.2,0.36581,0.28223,0.93696,0.97898,0.97979,0.99209,0.83432,0.72757,0.28648,1.29223,5.7211e-05,5.7211e-05,5.7211e-05
